Company ID,umap1,umap2,cluster,Financial distress
189,7.2259936,3.7934458,C Thin-margin vulnerable operators,0
192,11.165807,11.306205,A Resilient high-profit cash generators,0
196,10.454686,8.959762,A Resilient high-profit cash generators,0
197,13.175224,6.558855,B Healthy profitable core SMEs,0
199,9.54019,4.288595,C Thin-margin vulnerable operators,0
203,12.564496,3.5140727,B Healthy profitable core SMEs,0
204,9.776334,1.4562671,C Thin-margin vulnerable operators,0
207,12.525692,3.2140248,B Healthy profitable core SMEs,0
208,8.964098,4.4158316,C Thin-margin vulnerable operators,0
209,11.120093,10.406423,A Resilient high-profit cash generators,0
211,11.723364,-1.1189048,C Thin-margin vulnerable operators,0
212,9.543773,4.5851936,B Healthy profitable core SMEs,0
213,12.760967,6.2398667,B Healthy profitable core SMEs,0
214,11.566819,1.2690436,C Thin-margin vulnerable operators,0
215,10.143706,7.323306,B Healthy profitable core SMEs,0
216,9.215175,4.7298727,B Healthy profitable core SMEs,0
217,-3.548823,4.41218,E Loss-making cash-flow distressed firms,0
218,9.4445505,9.27942,B Healthy profitable core SMEs,0
219,11.790199,8.200594,B Healthy profitable core SMEs,0
220,11.759536,2.0025222,C Thin-margin vulnerable operators,0
221,10.380583,10.076617,A Resilient high-profit cash generators,0
222,9.044512,6.4953923,B Healthy profitable core SMEs,0
224,10.56561,0.5048668,C Thin-margin vulnerable operators,0
225,12.790154,7.744059,B Healthy profitable core SMEs,0
227,8.74907,2.5580063,C Thin-margin vulnerable operators,0
228,10.95206,9.810158,A Resilient high-profit cash generators,0
229,11.323265,8.976015,A Resilient high-profit cash generators,0
232,11.276737,6.570211,B Healthy profitable core SMEs,0
233,11.687421,6.438442,B Healthy profitable core SMEs,0
236,8.14172,5.5682545,B Healthy profitable core SMEs,0
238,8.810963,11.616525,A Resilient high-profit cash generators,0
239,10.148184,3.302617,C Thin-margin vulnerable operators,0
240,13.848695,8.132935,B Healthy profitable core SMEs,0
241,11.529631,5.485605,B Healthy profitable core SMEs,0
243,7.7481346,6.7445393,B Healthy profitable core SMEs,0
244,6.699231,4.1568832,C Thin-margin vulnerable operators,0
245,8.879822,8.830521,B Healthy profitable core SMEs,0
249,7.6463265,-0.415996,C Thin-margin vulnerable operators,0
252,10.125433,0.31530356,C Thin-margin vulnerable operators,0
256,6.264923,11.49601,B Healthy profitable core SMEs,0
258,10.50079,9.288132,A Resilient high-profit cash generators,0
261,11.652803,-0.5938606,C Thin-margin vulnerable operators,0
264,-3.7318296,4.3884945,E Loss-making cash-flow distressed firms,0
266,10.417906,7.7355657,B Healthy profitable core SMEs,0
268,11.309998,11.037297,A Resilient high-profit cash generators,0
270,7.5972204,5.5242376,B Healthy profitable core SMEs,0
273,7.9877214,2.1972184,C Thin-margin vulnerable operators,0
275,8.530936,0.63793147,C Thin-margin vulnerable operators,0
277,10.813686,5.2642727,B Healthy profitable core SMEs,0
278,10.433968,9.818411,A Resilient high-profit cash generators,0
279,11.26134,5.359334,B Healthy profitable core SMEs,0
281,7.3590584,3.2542412,C Thin-margin vulnerable operators,0
283,8.58454,1.7544479,C Thin-margin vulnerable operators,0
284,13.055063,8.404222,B Healthy profitable core SMEs,0
285,9.622158,8.708189,A Resilient high-profit cash generators,0
288,10.116896,6.4965367,B Healthy profitable core SMEs,0
289,11.791521,6.3708963,B Healthy profitable core SMEs,0
290,9.6191025,9.323627,A Resilient high-profit cash generators,0
292,12.944685,8.308988,B Healthy profitable core SMEs,0
293,6.3603206,-0.34776667,C Thin-margin vulnerable operators,0
294,12.045161,2.2971659,C Thin-margin vulnerable operators,0
295,9.641582,4.211854,B Healthy profitable core SMEs,0
296,12.362565,2.9882324,C Thin-margin vulnerable operators,0
298,10.62624,2.0770626,C Thin-margin vulnerable operators,0
299,9.595388,6.257523,B Healthy profitable core SMEs,0
301,11.073005,8.3407545,B Healthy profitable core SMEs,0
302,7.7756295,6.5856953,B Healthy profitable core SMEs,0
303,13.047985,5.9713316,B Healthy profitable core SMEs,0
304,7.756593,6.3422046,B Healthy profitable core SMEs,0
307,8.041342,10.301192,B Healthy profitable core SMEs,0
309,10.968699,10.111935,A Resilient high-profit cash generators,0
311,11.7286005,3.4315078,B Healthy profitable core SMEs,0
312,8.85049,6.4718056,B Healthy profitable core SMEs,0
313,10.3153,7.378162,B Healthy profitable core SMEs,0
316,9.179495,2.2822533,C Thin-margin vulnerable operators,0
317,12.995648,6.8637996,B Healthy profitable core SMEs,0
318,11.388646,10.035837,A Resilient high-profit cash generators,0
321,11.462069,1.4076587,C Thin-margin vulnerable operators,0
322,10.043337,7.2102766,B Healthy profitable core SMEs,0
324,7.848208,2.643854,C Thin-margin vulnerable operators,0
326,5.163074,11.327392,E Loss-making cash-flow distressed firms,0
327,8.173671,3.7396238,C Thin-margin vulnerable operators,0
329,11.625408,6.3288546,B Healthy profitable core SMEs,0
330,11.778977,-1.1934651,C Thin-margin vulnerable operators,0
331,12.201254,3.3690643,B Healthy profitable core SMEs,0
332,14.3744755,6.251753,B Healthy profitable core SMEs,0
333,9.729514,8.702801,A Resilient high-profit cash generators,0
335,7.7058716,1.572307,C Thin-margin vulnerable operators,0
336,12.0962305,3.9574447,B Healthy profitable core SMEs,0
337,12.02077,3.4881406,C Thin-margin vulnerable operators,0
340,8.303876,1.6010374,C Thin-margin vulnerable operators,0
343,10.850706,10.854099,A Resilient high-profit cash generators,0
344,8.305087,2.224974,C Thin-margin vulnerable operators,0
345,10.624109,7.200479,B Healthy profitable core SMEs,0
346,10.690858,10.789565,A Resilient high-profit cash generators,0
347,6.329894,-1.7999161,D Debt-burdened break-even firms,0
348,7.57427,1.596641,C Thin-margin vulnerable operators,0
349,9.941419,0.93756735,C Thin-margin vulnerable operators,0
352,9.9712715,2.3195915,C Thin-margin vulnerable operators,0
354,10.470463,3.2217062,C Thin-margin vulnerable operators,0
357,12.399769,2.9948695,B Healthy profitable core SMEs,0
359,7.3008695,-0.85042775,C Thin-margin vulnerable operators,0
360,7.5292354,3.8136442,C Thin-margin vulnerable operators,0
361,0.7509666,4.0528975,C Thin-margin vulnerable operators,0
362,8.155315,6.2065024,B Healthy profitable core SMEs,0
363,10.071607,6.659588,C Thin-margin vulnerable operators,0
364,12.51799,8.617997,B Healthy profitable core SMEs,0
367,11.245815,8.256486,B Healthy profitable core SMEs,0
371,6.1377563,-2.1134007,D Debt-burdened break-even firms,0
372,10.606944,6.5317445,B Healthy profitable core SMEs,0
373,12.641365,9.664084,A Resilient high-profit cash generators,0
375,10.485036,0.1939091,C Thin-margin vulnerable operators,0
376,7.5412045,6.156942,B Healthy profitable core SMEs,0
378,9.223187,4.2047467,C Thin-margin vulnerable operators,0
381,6.7650366,-1.4204274,D Debt-burdened break-even firms,0
382,13.368249,8.702463,B Healthy profitable core SMEs,0
385,9.9299,9.996592,A Resilient high-profit cash generators,0
387,8.2085905,2.3479953,C Thin-margin vulnerable operators,0
389,10.003696,6.4725585,B Healthy profitable core SMEs,0
390,7.1221166,-1.113497,D Debt-burdened break-even firms,0
391,10.6267805,11.154905,A Resilient high-profit cash generators,0
392,8.081053,3.392414,C Thin-margin vulnerable operators,0
396,9.793341,5.330528,B Healthy profitable core SMEs,0
397,13.700873,4.34845,B Healthy profitable core SMEs,0
399,12.654871,5.113054,B Healthy profitable core SMEs,0
400,10.884324,2.9859214,C Thin-margin vulnerable operators,0
401,9.570699,3.8956177,C Thin-margin vulnerable operators,0
404,12.597136,7.755807,B Healthy profitable core SMEs,0
405,9.247688,5.631795,B Healthy profitable core SMEs,0
406,10.414659,10.304756,A Resilient high-profit cash generators,0
409,-3.3020065,5.32682,E Loss-making cash-flow distressed firms,0
410,7.1870728,3.202165,C Thin-margin vulnerable operators,0
411,9.438707,4.9685745,B Healthy profitable core SMEs,0
412,7.2711787,4.037987,C Thin-margin vulnerable operators,0
416,13.907303,4.5876813,B Healthy profitable core SMEs,0
417,12.054636,4.951929,B Healthy profitable core SMEs,0
419,9.802977,3.623813,C Thin-margin vulnerable operators,0
420,13.9297,5.006104,B Healthy profitable core SMEs,0
422,13.293209,6.7125273,B Healthy profitable core SMEs,0
424,11.619564,7.281242,B Healthy profitable core SMEs,0
425,-3.463139,6.082124,E Loss-making cash-flow distressed firms,0
427,9.118049,8.641805,B Healthy profitable core SMEs,0
428,7.7509236,6.561223,B Healthy profitable core SMEs,0
429,12.465874,10.112392,A Resilient high-profit cash generators,0
431,11.427606,0.08742992,C Thin-margin vulnerable operators,0
432,8.962654,7.0381308,B Healthy profitable core SMEs,0
433,8.692045,6.9302487,B Healthy profitable core SMEs,0
434,11.244377,5.232356,B Healthy profitable core SMEs,0
436,12.329327,5.7045045,B Healthy profitable core SMEs,0
437,9.160547,7.25449,B Healthy profitable core SMEs,0
439,12.974551,5.919869,B Healthy profitable core SMEs,0
440,12.762617,6.0835185,B Healthy profitable core SMEs,0
444,13.399463,7.2515187,B Healthy profitable core SMEs,0
445,9.147788,5.9116783,B Healthy profitable core SMEs,0
446,11.073168,2.5495262,B Healthy profitable core SMEs,0
447,7.942073,1.9845742,C Thin-margin vulnerable operators,0
448,11.801252,3.6323557,B Healthy profitable core SMEs,0
449,8.545478,8.62369,B Healthy profitable core SMEs,0
450,12.4853,2.301086,B Healthy profitable core SMEs,0
452,8.303429,7.137963,B Healthy profitable core SMEs,0
453,8.425503,3.0702817,C Thin-margin vulnerable operators,0
456,9.184434,6.7777786,B Healthy profitable core SMEs,0
457,10.812951,12.413263,A Resilient high-profit cash generators,0
459,6.985212,-0.9962976,D Debt-burdened break-even firms,0
461,8.818509,4.227106,C Thin-margin vulnerable operators,0
462,12.056701,8.940508,A Resilient high-profit cash generators,0
463,9.254401,4.360147,B Healthy profitable core SMEs,0
465,10.661281,3.8997111,C Thin-margin vulnerable operators,0
466,9.90859,1.8354534,C Thin-margin vulnerable operators,0
468,11.335821,7.7166715,B Healthy profitable core SMEs,0
469,6.9031253,2.9282703,C Thin-margin vulnerable operators,0
473,7.8638687,1.2995044,C Thin-margin vulnerable operators,0
474,10.441455,3.5520327,C Thin-margin vulnerable operators,0
475,13.088958,8.54965,B Healthy profitable core SMEs,0
477,11.513746,5.95896,B Healthy profitable core SMEs,0
478,10.073683,0.3159359,C Thin-margin vulnerable operators,0
479,10.389871,7.2561436,B Healthy profitable core SMEs,0
481,13.106048,7.216919,B Healthy profitable core SMEs,0
482,7.815413,5.97045,B Healthy profitable core SMEs,0
483,11.8989315,9.763921,A Resilient high-profit cash generators,0
485,12.813509,8.481209,A Resilient high-profit cash generators,0
486,8.736508,2.1477365,C Thin-margin vulnerable operators,0
487,9.329117,4.7029853,B Healthy profitable core SMEs,0
488,7.5926986,-0.32847497,C Thin-margin vulnerable operators,0
489,12.573965,6.8521104,B Healthy profitable core SMEs,0
491,13.658652,6.609055,B Healthy profitable core SMEs,0
493,12.159846,0.7330966,B Healthy profitable core SMEs,0
494,8.992812,3.231945,C Thin-margin vulnerable operators,0
495,9.500499,9.372114,A Resilient high-profit cash generators,0
497,10.70681,0.9777775,C Thin-margin vulnerable operators,0
500,7.7266474,4.8045626,B Healthy profitable core SMEs,0
502,10.002077,4.696514,B Healthy profitable core SMEs,0
503,13.066621,4.039465,B Healthy profitable core SMEs,0
504,10.422684,3.7139184,C Thin-margin vulnerable operators,0
505,10.446508,1.8414195,C Thin-margin vulnerable operators,0
506,10.225715,11.841032,A Resilient high-profit cash generators,0
509,9.967004,6.114337,B Healthy profitable core SMEs,0
510,10.266944,1.0702374,C Thin-margin vulnerable operators,0
512,9.400374,3.0220406,C Thin-margin vulnerable operators,0
514,9.618829,5.2508793,B Healthy profitable core SMEs,0
517,0.95291173,4.5152426,C Thin-margin vulnerable operators,0
518,10.129173,6.322562,B Healthy profitable core SMEs,0
519,7.2205467,2.9469814,C Thin-margin vulnerable operators,0
520,12.508952,7.4612613,B Healthy profitable core SMEs,0
523,12.494133,10.142073,A Resilient high-profit cash generators,0
524,7.5807,-0.2279317,C Thin-margin vulnerable operators,0
525,0.9353586,4.538398,E Loss-making cash-flow distressed firms,0
526,10.363742,4.492042,B Healthy profitable core SMEs,0
527,11.809272,2.9209855,C Thin-margin vulnerable operators,0
528,8.862753,8.500042,B Healthy profitable core SMEs,0
531,12.553373,8.947801,A Resilient high-profit cash generators,0
535,11.526738,4.897427,B Healthy profitable core SMEs,0
539,8.846152,5.6599913,B Healthy profitable core SMEs,0
542,9.161518,4.236527,C Thin-margin vulnerable operators,0
545,11.86745,1.879238,C Thin-margin vulnerable operators,0
546,-3.5490968,4.6657567,E Loss-making cash-flow distressed firms,0
547,7.6655836,6.5283494,B Healthy profitable core SMEs,0
548,10.614225,10.268522,A Resilient high-profit cash generators,0
550,11.081574,8.664205,B Healthy profitable core SMEs,0
551,8.990285,0.7080329,C Thin-margin vulnerable operators,0
552,9.61648,3.9794188,C Thin-margin vulnerable operators,0
553,7.951836,10.217331,B Healthy profitable core SMEs,0
554,11.195438,3.9601367,B Healthy profitable core SMEs,0
555,14.197064,6.382233,B Healthy profitable core SMEs,0
556,0.7856625,4.8662043,C Thin-margin vulnerable operators,0
558,10.188458,10.16631,A Resilient high-profit cash generators,0
561,7.519873,4.1942773,C Thin-margin vulnerable operators,0
562,11.920736,8.740048,A Resilient high-profit cash generators,0
563,9.789061,4.099869,B Healthy profitable core SMEs,0
564,9.746731,8.216563,B Healthy profitable core SMEs,0
565,8.244395,10.852079,A Resilient high-profit cash generators,0
567,8.950322,6.474296,B Healthy profitable core SMEs,0
568,13.596727,3.81425,B Healthy profitable core SMEs,0
570,7.822379,5.525289,B Healthy profitable core SMEs,0
572,8.103651,1.7040161,C Thin-margin vulnerable operators,0
573,9.712569,6.3590283,B Healthy profitable core SMEs,0
574,11.5334835,0.21543752,C Thin-margin vulnerable operators,0
575,11.313345,8.21308,B Healthy profitable core SMEs,0
577,11.444014,8.334672,B Healthy profitable core SMEs,0
578,7.1421776,5.324401,B Healthy profitable core SMEs,0
580,10.05861,0.97816116,C Thin-margin vulnerable operators,0
583,9.266213,4.618268,B Healthy profitable core SMEs,0
584,10.099827,4.1039915,C Thin-margin vulnerable operators,0
585,13.004694,8.737461,A Resilient high-profit cash generators,0
586,7.3767023,4.289599,C Thin-margin vulnerable operators,0
590,8.478634,4.2812247,B Healthy profitable core SMEs,0
591,7.0039907,3.3986135,C Thin-margin vulnerable operators,0
592,5.062577,11.294389,E Loss-making cash-flow distressed firms,0
593,-3.6949666,6.1471286,E Loss-making cash-flow distressed firms,0
594,6.9653716,3.499776,C Thin-margin vulnerable operators,0
595,10.57881,9.222087,A Resilient high-profit cash generators,0
596,10.762059,4.9873,B Healthy profitable core SMEs,0
597,9.63238,3.7851574,C Thin-margin vulnerable operators,0
599,10.667642,0.7778247,C Thin-margin vulnerable operators,0
600,9.052665,4.2123766,C Thin-margin vulnerable operators,0
601,9.686862,0.4135502,C Thin-margin vulnerable operators,0
604,9.861612,5.009289,B Healthy profitable core SMEs,0
606,10.73228,7.7336216,B Healthy profitable core SMEs,0
607,7.061237,5.619731,B Healthy profitable core SMEs,0
608,11.609108,3.8318224,B Healthy profitable core SMEs,0
609,11.10731,8.633719,A Resilient high-profit cash generators,0
613,13.86235,5.7159486,B Healthy profitable core SMEs,0
616,12.285644,10.407789,A Resilient high-profit cash generators,0
620,8.812637,4.316463,C Thin-margin vulnerable operators,0
622,8.650519,6.4337664,B Healthy profitable core SMEs,0
624,11.319534,11.670733,A Resilient high-profit cash generators,0
625,12.034855,5.1470456,B Healthy profitable core SMEs,0
626,9.144795,6.769578,B Healthy profitable core SMEs,0
627,9.761975,0.6913046,C Thin-margin vulnerable operators,0
628,10.48862,3.3127491,C Thin-margin vulnerable operators,0
630,11.535953,4.5824475,B Healthy profitable core SMEs,0
631,11.851558,4.9185343,B Healthy profitable core SMEs,0
632,11.203738,0.46372852,C Thin-margin vulnerable operators,0
634,7.38504,2.5655267,C Thin-margin vulnerable operators,0
635,12.578457,4.373641,B Healthy profitable core SMEs,0
636,7.9063373,2.655874,C Thin-margin vulnerable operators,0
637,11.207036,10.292811,A Resilient high-profit cash generators,0
638,13.091176,8.968266,A Resilient high-profit cash generators,0
640,12.3412075,5.33141,B Healthy profitable core SMEs,0
642,9.626492,8.018542,B Healthy profitable core SMEs,0
643,11.2106,11.103302,A Resilient high-profit cash generators,0
644,7.01342,0.76017064,C Thin-margin vulnerable operators,0
645,12.153047,-1.2500343,A Resilient high-profit cash generators,0
646,8.003063,4.5524235,B Healthy profitable core SMEs,0
651,9.901305,6.0960574,B Healthy profitable core SMEs,0
653,14.031357,6.1684613,B Healthy profitable core SMEs,0
656,11.573709,1.7658477,C Thin-margin vulnerable operators,0
657,7.2030306,2.8409731,C Thin-margin vulnerable operators,0
658,6.744959,4.422725,C Thin-margin vulnerable operators,0
659,11.329691,9.759279,A Resilient high-profit cash generators,0
660,13.391264,4.884963,B Healthy profitable core SMEs,0
661,9.6902685,1.121873,C Thin-margin vulnerable operators,0
662,8.816673,7.1312327,B Healthy profitable core SMEs,0
663,8.228711,6.214646,B Healthy profitable core SMEs,0
664,12.180779,5.9702992,B Healthy profitable core SMEs,0
666,12.317801,6.993687,B Healthy profitable core SMEs,0
673,11.022694,11.5332,A Resilient high-profit cash generators,0
674,10.487511,1.2570038,C Thin-margin vulnerable operators,0
675,12.876828,6.857136,B Healthy profitable core SMEs,0
676,11.093561,6.4098787,B Healthy profitable core SMEs,0
677,10.480791,5.602181,B Healthy profitable core SMEs,0
678,6.445139,11.339317,B Healthy profitable core SMEs,0
679,13.07619,5.4475513,B Healthy profitable core SMEs,0
680,0.8011789,4.185039,C Thin-margin vulnerable operators,0
681,7.8157787,5.9317403,B Healthy profitable core SMEs,0
682,12.836149,8.195557,B Healthy profitable core SMEs,0
683,12.494787,10.010979,A Resilient high-profit cash generators,0
685,8.627408,8.999825,A Resilient high-profit cash generators,0
686,8.858251,8.78074,B Healthy profitable core SMEs,0
687,11.565476,9.734324,A Resilient high-profit cash generators,0
689,0.6596311,4.2114234,E Loss-making cash-flow distressed firms,0
690,12.413961,5.5792403,B Healthy profitable core SMEs,0
691,12.480728,2.2013,B Healthy profitable core SMEs,0
692,12.382704,7.9695425,B Healthy profitable core SMEs,0
693,9.465732,9.264089,B Healthy profitable core SMEs,0
694,9.810426,10.21623,A Resilient high-profit cash generators,0
695,9.158604,6.164263,B Healthy profitable core SMEs,0
696,7.283544,10.879395,B Healthy profitable core SMEs,0
697,8.790534,5.357431,C Thin-margin vulnerable operators,0
698,13.520194,7.257516,B Healthy profitable core SMEs,0
700,9.560192,9.65745,A Resilient high-profit cash generators,0
702,11.199595,5.2749414,B Healthy profitable core SMEs,0
703,11.901613,4.9029584,B Healthy profitable core SMEs,0
704,11.716819,1.4301625,C Thin-margin vulnerable operators,0
705,10.489753,11.592249,A Resilient high-profit cash generators,0
708,11.6542425,1.8347846,C Thin-margin vulnerable operators,0
709,9.054229,2.8062265,C Thin-margin vulnerable operators,0
714,7.447997,-0.67734283,C Thin-margin vulnerable operators,0
715,13.283347,6.1925917,B Healthy profitable core SMEs,0
716,8.850876,5.407326,B Healthy profitable core SMEs,0
717,11.198601,5.909454,B Healthy profitable core SMEs,0
718,10.899058,3.0015872,B Healthy profitable core SMEs,0
720,10.00571,0.42862034,C Thin-margin vulnerable operators,0
721,6.9359384,4.456358,C Thin-margin vulnerable operators,0
723,10.471808,7.2341976,B Healthy profitable core SMEs,0
725,11.631117,1.3329476,C Thin-margin vulnerable operators,0
727,12.456216,1.5503258,B Healthy profitable core SMEs,0
728,12.66897,7.747843,B Healthy profitable core SMEs,0
729,10.570477,11.340962,A Resilient high-profit cash generators,0
731,9.34153,8.2016535,B Healthy profitable core SMEs,0
732,10.496603,2.1400678,C Thin-margin vulnerable operators,0
733,10.739901,5.988502,B Healthy profitable core SMEs,0
734,12.104867,1.7067161,C Thin-margin vulnerable operators,0
735,7.752722,3.1993778,C Thin-margin vulnerable operators,0
739,0.60138357,4.4303513,C Thin-margin vulnerable operators,0
740,8.853147,3.6732607,C Thin-margin vulnerable operators,0
741,12.730011,6.8914886,B Healthy profitable core SMEs,0
742,11.180067,5.1120405,B Healthy profitable core SMEs,0
744,8.746931,8.547368,B Healthy profitable core SMEs,0
745,9.244019,3.2283497,C Thin-margin vulnerable operators,0
746,12.589486,7.8807373,B Healthy profitable core SMEs,0
748,11.603017,10.77602,A Resilient high-profit cash generators,0
749,9.329847,6.457754,B Healthy profitable core SMEs,0
750,10.0518,12.189184,A Resilient high-profit cash generators,0
751,9.986924,4.7913184,B Healthy profitable core SMEs,0
752,8.141973,11.035878,A Resilient high-profit cash generators,0
753,-3.6519966,4.433367,E Loss-making cash-flow distressed firms,0
754,8.580578,4.495175,C Thin-margin vulnerable operators,0
755,13.705481,6.4775033,B Healthy profitable core SMEs,0
756,0.96352375,4.470001,C Thin-margin vulnerable operators,0
757,10.3298235,9.552276,A Resilient high-profit cash generators,0
758,10.619514,10.109818,A Resilient high-profit cash generators,0
762,8.457865,0.6010714,C Thin-margin vulnerable operators,0
764,10.330153,7.3382487,B Healthy profitable core SMEs,0
767,10.091659,10.6896305,A Resilient high-profit cash generators,0
769,6.7781663,3.0650604,C Thin-margin vulnerable operators,0
770,11.872421,8.051069,B Healthy profitable core SMEs,0
771,9.113448,5.7572393,B Healthy profitable core SMEs,0
772,8.678551,10.647642,A Resilient high-profit cash generators,0
773,10.410501,7.324817,C Thin-margin vulnerable operators,0
778,8.206752,2.747257,C Thin-margin vulnerable operators,0
779,11.499312,3.0210118,C Thin-margin vulnerable operators,0
